postcode,long,lat
WF2 9AF,-1.50929,53.683308
KT1 2BB,-0.304698,51.405894
SH1H 9AJ,NA,NA
GL50 3PN,-2.079366,51.900414
CF37 4TD,-3.340269,51.603619
L3 1BP,-2.993539,53.403571
BS31 2YH,-2.498925,51.415587
WS9 8JZ,-1.908981,52.613391
DL3 7RL,-1.558443,54.523642
WC1B4AD,-0.122152,51.519206
B2 4AA,-1.902323,52.479059
IV3 8NW,-4.272556,57.467526
E14 4PE,-0.0189405554285715,51.5062631645715
DL9 3AX,-1.728237,54.3815
GU15 4NR,-0.770484,51.34065
NB2 1AB,NA,NA
SA9 1AB,-3.774427,51.766644
CT15 5LR,1.319564,51.139902
TW6 2AZ,-0.448460209302325,51.470942620155
EH1 3EG,-3.188114,55.95339
LU1 5BT,-0.420143,51.877719
MK3 6DH,-0.742419,51.993923
OX4 2PY,-1.201358,51.740689
PO17 6AR,-1.107593,50.857633
IP28 8EJ,0.4921,52.365209
LS12 2BH,-1.587226,53.799991
LL1 3BW,NA,NA
DY6 1QL,-2.16463774966353,52.4984278384926
BD23 1HU,-2.012603,53.961209
LL13 8XN,-2.95932389189189,53.0345846216216
GU21 6BD,-0.580339590790617,51.3210240451781
EH14 2NA,-3.25213,55.92119
LU7 4QG,-0.630878,51.91182
PE30 4LS,0.423187,52.746727
PL15 9NJ,-4.330611,50.612197
EX2 8PU,-3.53159,50.705199
EX31 1AB,-4.082557,51.085027
BS23 3PZ,-2.972818,51.341643
BS4 5JX,-2.542753,51.428808
BS15 4GQ,-2.488293,51.471722
SO16 9FP,-1.455187,50.932683
RG2 0BW,-0.972268,51.442693
RM18 7AE,0.351389,51.464299
PO20 2AA,-0.749787,50.838332
EN3 7XY,-0.021375,51.676861
CM14 5JN,0.296903,51.610536
SS2 6LL,0.708971,51.54845
SS14 3JS,0.488023,51.589097
G4 0DX,-4.252409,55.868164
EH48 1HG,-3.643299,55.900326
EH6 6QP,-3.179294,55.977771
FK1 1XE,-3.761503,55.995564
FY2 0YE,-3.034437,53.839974
G2 8SP,-4.25622245195729,55.8629171316728
HU2 8NF,-0.347504,53.7483
HX3 5AX,-1.863977,53.728243
PE1 1HA,-0.24203,52.57092
S70 2SA,-1.485098,53.553606
SR7 7PR,-1.326026,54.822604
YO31 7JZ,-1.07797,53.963601
SY4 4EF,-2.656718,52.792982
BB12 7NQ,-2.339435,53.79701
CF83 1WT,-3.224405,51.572898
CH41 6JN,-3.01843,53.393401
CV11 4DL,-1.466358,52.522164
DN32 7BE,-0.068792,53.573958
GU1 4QD,-0.575348,51.238076
KY12 9DF,-3.463113,56.074497
M24 1BX,-2.196266,53.548089
NE66 1LX,-1.709448,55.4162
NG2 3NG,-1.144604,52.948148
PA1 2AN,-4.428111,55.844958
PO21 1HH,-0.667824,50.785005
PR1 1NS,-2.6979,53.761329
SR1 3EY,-1.389921,54.90703
SS14 1FT,0.454698,51.570787
WF12 8EF,-1.627309,53.690152
LL1 1BW,NA,NA
UB7 0DQ,-0.462332,51.483154
NN13 5XP,-1.187342,51.993904
HD1 2NE,-1.785363,53.644116
NR10 5AJ,1.24094575527426,52.7363393544303
IP28 8NF,0.482592,52.334997
S80 2AS,-1.122961,53.304459
IV3 5BP,-4.229268,57.476889
PE2 9BY,-0.247368,52.559923
OX25 1LP,-1.21439767245119,51.9006214707158
SR5 2TZ,-1.417625,54.918452
SL1 2AG,-0.586238,51.503823
RG1 7TH,-0.976643,51.452937
LE11 5BL,-1.207696,52.772604
BS16 1FJ,-2.540317,51.501526
ME12 4AY,0.804004212952799,51.422450974753
SP2 0QT,-1.877926,51.111845
AL8 6JL,-0.207589,51.802665
EX39 4JH,-4.175993,51.058439
NW1 2DN,-0.132183,51.528044
SE12 0BH,0.021483,51.433833
MK44 2FD,-0.459502,52.215634
S12 2AN,-1.425999,53.358347
SW1P 9DU,-0.135779,51.481027
HS1 2RT,-6.375905,58.203309
BH15 4JN,-2.015815,50.724858
BS16 3HZ,-2.536101,51.477385
BH24 2ET,-1.85024,50.850569
TN34 1EG,0.582125519553072,50.8649658826816
S41 7UG,-1.421264,53.238512
CV1 2GN,-1.513095,52.402418
NG12 5GG,-1.078043,52.878996
SW1 4DF,NA,NA
SO40 4ZR,-1.50393449814471,50.9130510129871
M5 3EZ,-2.2768640000000002,53.467986
WS11 0JB,-2.026966,52.680477
B11 2QG,-1.860602,52.458466
HA6 3PA,-0.411378,51.613994
HP22 6PG,-0.741248,51.752894
Ls2 7UE,-1.531252,53.79823
NE1 1EE,-1.61232,54.970928
NE23 6QW,-1.587731,55.085293
SR5 2JB,-1.404165,54.919394
S1 2DR,-1.467897,53.38432
S1 3SY,-1.475544,53.381136
S60 2DL,-1.354066,53.428406
HP14 4XE,-0.792654,51.680739
Po12 2DL,-1.140616,50.780804
SP4 9LY,-1.740824,51.194834
P02 8BY,NA,NA
CB2 1LA,0.129235,52.196849
BD1 3BE,-1.759606,53.800442
E8 1DY,-0.057953,51.54532
DD1 1QE,-2.975455,56.460252
B79 9QZ,-1.68181132352941,52.6507997647059
DL1 1RU,-1.549849,54.524006
NG1 6HS,-1.154114,52.952764
DN14 6XA,-0.886417,53.708595
CV11 4EL,-1.467656,52.523302
OC1 1BN,NA,NA
GL1 4HY,-2.234303,51.859514
TR1 1HZ,-5.044067,50.268315
M3 3FX,-2.252687,53.480803
EH26 0PZ,-3.195146,55.857743
HP14 4UP,-0.788438,51.678852
En6 3QG,-0.240853,51.688383
LE1 5TU,-1.135187,52.630813
PE29 6US,-0.199856,52.33889
SW1P 4JY,-0.129298,51.493593
BN11 1JD,-0.374065,50.81416
TF2 8LG,-2.43997805035971,52.7016772904677
IV2 7TD,-4.051691,57.582628
TR11 4AU,-5.064503,50.150995
DL9 3LS,-1.70773934108527,54.3753965710595
HG17 5PR,NA,NA
TF2 8AF,-2.440841,52.7196
NE12 9RZ,-1.57034720823529,55.0240673482353
B15 1PL,-1.91423,52.470911
SW1A 2BH,-0.132251108843537,51.5043159251701
SN10 2FE,-1.97233,51.362949
LE157BL,-0.648985,52.729179
NR6 7RA,1.303814,52.652751
So43 7NH,-1.578898,50.871947
SA62 6NN,-5.129105,51.878705
BS1 5AS,-2.603941,51.451617
TR11 4NR,-5.056724,50.152088
ME1 3NF,0.495893,51.364675
LS11 0AT,-1.560679,53.783277
N8 7QT,-0.123081,51.587375
TF2 8LS,-2.442183,52.733718
TQ4 6DT,-3.556424,50.431569
KW10 6UB,-3.990574,57.970135
WR11 5TZ,-1.92888051234043,52.0956870212766
PR26 8LT,-2.744955,53.672908
